,Nivel,Cod,EnteFederativo,2018,2019,2020,2021
168,"""MU""","""1400175""","""Cantá (RR)""","""268480""","""275046""","""325084""","""353071"""
169,"""MU""","""1400209""","""Caracaraí (RR)""","""347040""","""369912""","""410236""","""453298"""
170,"""MU""","""1400233""","""Caroebe (RR)""","""178393""","""199851""","""227485""","""236788"""
171,"""MU""","""1400282""","""Iracema (RR)""","""159895""","""158894""","""182151""","""208477"""
172,"""MU""","""1400308""","""Mucajaí (RR)""","""309570""","""311626""","""348377""","""393852"""
173,"""MU""","""1400407""","""Normandia (RR)""","""153495""","""173355""","""194764""","""202859"""
174,"""MU""","""1400456""","""Pacaraima (RR)""","""204460""","""261537""","""290184""","""329092"""
175,"""MU""","""1400472""","""Rorainópolis (RR)""","""547432""","""576395""","""636429""","""732356"""
176,"""MU""","""1400506""","""São João da Baliza (RR)""","""177732""","""205385""","""262115""","""327768"""
177,"""MU""","""1400605""","""São Luiz (RR)""","""139074""","""143844""","""165075""","""178972"""
178,"""MU""","""1400704""","""Uiramutã (RR)""","""111043""","""118912""","""129282""","""143945"""
179,"""MU""","""1500107""","""Abaetetuba (PA)""","""1413517""","""1491621""","""1659693""","""1949341"""
180,"""MU""","""1500131""","""Abel Figueiredo (PA)""","""82186""","""84902""","""95863""","""105496"""
181,"""MU""","""1500206""","""Acará (PA)""","""913952""","""755091""","""881812""","""1433440"""
182,"""MU""","""1500305""","""Afuá (PA)""","""357706""","""368873""","""438582""","""444236"""
183,"""MU""","""1500347""","""Água Azul do Norte (PA)""","""422972""","""433939""","""531635""","""643132"""
184,"""MU""","""1500404""","""Alenquer (PA)""","""566618""","""573058""","""692397""","""745403"""
185,"""MU""","""1500503""","""Almeirim (PA)""","""591446""","""543380""","""627560""","""688370"""
186,"""MU""","""1500602""","""Altamira (PA)""","""2723890""","""2776406""","""2559968""","""3120219"""
187,"""MU""","""1500701""","""Anajás (PA)""","""206730""","""213400""","""228956""","""259020"""
188,"""MU""","""1500800""","""Ananindeua (PA)""","""7522961""","""8163540""","""8117175""","""8939830"""
189,"""MU""","""1500859""","""Anapu (PA)""","""368823""","""415241""","""522861""","""588032"""
190,"""MU""","""1500909""","""Augusto Corrêa (PA)""","""305707""","""324422""","""366358""","""363771"""
191,"""MU""","""1500958""","""Aurora do Pará (PA)""","""260752""","""220672""","""267915""","""308633"""
192,"""MU""","""1501006""","""Aveiro (PA)""","""118032""","""123024""","""138887""","""151969"""
193,"""MU""","""1501105""","""Bagre (PA)""","""207731""","""203160""","""233042""","""250548"""
194,"""MU""","""1501204""","""Baião (PA)""","""346675""","""473026""","""616016""","""562147"""
195,"""MU""","""1501253""","""Bannach (PA)""","""78125""","""80972""","""100723""","""129007"""
196,"""MU""","""1501303""","""Barcarena (PA)""","""4737436""","""5364844""","""7433645""","""9243937"""
197,"""MU""","""1501402""","""Belém (PA)""","""31479272""","""32372971""","""30798556""","""33467126"""
198,"""MU""","""1501451""","""Belterra (PA)""","""159132""","""163218""","""186769""","""237196"""
199,"""MU""","""1501501""","""Benevides (PA)""","""1589789""","""1558563""","""1677587""","""1986729"""
200,"""MU""","""1501576""","""Bom Jesus do Tocantins (PA)""","""175982""","""174025""","""208138""","""243883"""
201,"""MU""","""1501600""","""Bonito (PA)""","""151768""","""159908""","""189753""","""206682"""
202,"""MU""","""1501709""","""Bragança (PA)""","""1127614""","""1162529""","""1379843""","""1389573"""
203,"""MU""","""1501725""","""Brasil Novo (PA)""","""251821""","""276410""","""322791""","""379813"""
204,"""MU""","""1501758""","""Brejo Grande do Araguaia (PA)""","""78157""","""81565""","""88712""","""115088"""
205,"""MU""","""1501782""","""Breu Branco (PA)""","""569601""","""600242""","""688974""","""794309"""
206,"""MU""","""1501808""","""Breves (PA)""","""813404""","""806109""","""849150""","""893933"""
207,"""MU""","""1501907""","""Bujaru (PA)""","""453202""","""413630""","""488650""","""536730"""
208,"""MU""","""1501956""","""Cachoeira do Piriá (PA)""","""179381""","""182757""","""215937""","""227634"""
209,"""MU""","""1502004""","""Cachoeira do Arari (PA)""","""183253""","""199330""","""230595""","""255830"""
210,"""MU""","""1502103""","""Cametá (PA)""","""1131454""","""1137121""","""1334181""","""1393690"""
211,"""MU""","""1502152""","""Canaã dos Carajás (PA)""","""7106492""","""10704887""","""22503439""","""34989610"""
212,"""MU""","""1502202""","""Capanema (PA)""","""1027331""","""1106990""","""1230989""","""1427144"""
